config,name,arrival_rate,slo,avg_scheduler_runtime,avg,eff
"{'label': 'arrival_rate::0.01:0.033', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.033', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched/arrival_rate::0.01:0.033', '--log=arrival_rate::0.01:0.033.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.033.csv'], 'arrival_rate': 0.043000000000000003}",DSched,0.043000000000000003,0.431,5447990.394210889,69.31405294051247,46.867003612145844
"{'label': 'arrival_rate::0.01:0.033', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.033', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched-noopt/arrival_rate::0.01:0.033', '--log=arrival_rate::0.01:0.033.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.033.csv'], 'arrival_rate': 0.043000000000000003}",DSched-noopt,0.043000000000000003,0.276,14830360.102079395,21.505819616685457,10.865131679819617
"{'label': 'arrival_rate::0.01:0.0385', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0385', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched/arrival_rate::0.01:0.0385', '--log=arrival_rate::0.01:0.0385.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0385.csv'], 'arrival_rate': 0.0485}",DSched,0.0485,0.364,5864725.87195122,68.14354007876916,44.32603405774516
"{'label': 'arrival_rate::0.01:0.0385', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0385', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched-noopt/arrival_rate::0.01:0.0385', '--log=arrival_rate::0.01:0.0385.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0385.csv'], 'arrival_rate': 0.0485}",DSched-noopt,0.0485,0.281,14519515.102669405,63.31441661472205,48.74290190967303
"{'label': 'arrival_rate::0.015:0.014', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.015,0.014', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched/arrival_rate::0.015:0.014', '--log=arrival_rate::0.015:0.014.log', '--log_level=debug', '--csv=arrival_rate::0.015:0.014.csv'], 'arrival_rate': 0.028999999999999998}",DSched,0.028999999999999998,0.663,2933963.4627128597,70.74648152050233,51.765537106494165
"{'label': 'arrival_rate::0.015:0.014', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+hetero/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final_hetero.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--alibaba_enable_heterogeneous_resource_type', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,10,10', '--max_deadline_variances=50,25,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.015,0.014', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+hetero/DSched-noopt/arrival_rate::0.015:0.014', '--log=arrival_rate::0.015:0.014.log', '--log_level=debug', '--csv=arrival_rate::0.015:0.014.csv'], 'arrival_rate': 0.028999999999999998}",DSched-noopt,0.028999999999999998,0.295,18467017.200531207,64.88540581542351,40.675772439949434
